작성일자,단계,레코드유형,수주명,Product
2024-03-18,Closed,뉴솔루션,343강남운영센터 AICCTV,AICCTV
2024-03-18,Drop,뉴솔루션,CJ대한통운 AICCTV,AICCTV
2024-03-18,Closed,뉴솔루션,디앤오강서사옥 AICCTV,AICCTV
2024-03-18,Drop,뉴솔루션,펄어비스운영센터 AICCTV,AICCTV
2024-03-18,Closed,뉴솔루션,한국테크노플렉스 AICCTV,AICCTV
2024-03-18,Closed,뉴솔루션,화학대전기술연구원_AICCTV,AICCTV
2024-03-22,Closed,뉴솔루션,서울1_AI CCIV_(정보보안),AICCTV
2024-03-22,Drop,뉴솔루션,전자서초 AI영상서비스,AICCTV
2024-04-09,Closed,뉴솔루션,(신한은행운영센터)수색화원CCTV설치제안,AICCTV
2024-04-17,Drop,뉴솔루션,평촌IDC운영센터_AICCTV,AICCTV
2024-04-25,Closed,뉴솔루션,서울1_AI CCTV_(디앤오강서),AICCTV
2024-04-25,Closed,뉴솔루션,서울1_AI CCTV_(환경에너지),AICCTV
2024-05-02,Closed,뉴솔루션,누디트서울숲_AICCTV,AICCTV
2024-05-27,Drop,뉴솔루션,서울1_AI CCTV_(화학운영),AICCTV
2024-06-02,Drop,뉴솔루션,SAFE_서울2_AI CCTV_CJ대한통운,AICCTV
2024-06-17,Closed,뉴솔루션,대전청년하우스 AICCTV,AICCTV
2024-06-17,Closed,뉴솔루션,스테이소제 AICCTV,AICCTV
2024-07-01,Closed,뉴솔루션,신라교역 AICCTV,AICCTV
2024-08-06,Closed,뉴솔루션,캠코 서대문세무서 AICCTV,AICCTV
2024-08-06,Closed,뉴솔루션,캠코 양재빌딩 AICCTV,AICCTV
2024-08-06,Closed,뉴솔루션,캠코 저동빌딩 AICCTV,AICCTV
2024-08-28,Closed,뉴솔루션,펄어비스아트센터 AICCTV,AICCTV
2024-09-06,Drop,뉴솔루션,"LG 4개빌딩 AICCTV(가산,광화문,서울역,트윈)",AICCTV
2024-09-06,Drop,뉴솔루션,롯데이천슈퍼센터 AICCTV,AICCTV
2024-09-06,Drop,뉴솔루션,중부1_미스터홈즈_AICCTV,AICCTV
2024-09-06,Closed,뉴솔루션,화학대전기술연구원 AICCTV 추가설치,AICCTV
2024-09-10,Closed,뉴솔루션,용산유플러스 AICCTV,AICCTV
2024-09-11,Closed,뉴솔루션,DM스퀘어 AICCTV,AICCTV
2024-09-24,Pipeline,뉴솔루션,한국타이어테크노돔 AICCTV,AICCTV
2024-10-02,Closed,뉴솔루션,SP LG화학 AICCTV,AICCTV
2024-10-02,Closed,뉴솔루션,SP1차부지 AICCTV,AICCTV
2024-10-02,Closed,뉴솔루션,서브원물류센터 AICCTV,AICCTV
2024-10-10,Closed,뉴솔루션,신한은행수색화원 AICCTV,AICCTV
2024-11-19,Closed,뉴솔루션,KT&G을지로 AICCTV,AICCTV
2024-11-25,Closed,뉴솔루션,SP LG에너지솔루션 AICCTV,AICCTV
2024-11-25,Closed,뉴솔루션,SP LG화학 AICCTV 추가 설치 건,AICCTV
2024-12-15,견적 요청,샌디 영업물건,[샌디몰 견적신청] 2024-12-15 - AI CCTV(24개월),AICCTV
2025-01-14,Pipeline,뉴솔루션,대전헤레디움 AICCTV,AICCTV
2025-01-15,Pipeline,뉴솔루션,Safe_AI CCTV_CPO(25년),AICCTV
2025-01-20,Pipeline,뉴솔루션,SAFE_AICCTV_신규현장CCTV구축공사(25년),AICCTV
2025-01-20,Pipeline,뉴솔루션,SAFE_AICCTV_신규현장서비스(25년),AICCTV
2025-01-20,Pipeline,뉴솔루션,서대문세무서 AICCTV,AICCTV
2024-07-11,Closed,뉴솔루션,ZF_Safe_트윈타워_컬리창원 물류센터 컨설팅,FM컨설팅
2024-07-17,Closed,뉴솔루션,2Q-11. 서울4본부-솔루션-공연장 안전점검 컨설팅-제이와이피,FM컨설팅
2024-07-17,Closed,뉴솔루션,3Q-12. 서울4본부-솔루션-안전보건관리 컨설팅-제이와이피,FM컨설팅
2024-07-18,Closed,뉴솔루션,2Q-17. 서울4본부-솔루션-FM컨설팅-공공부문 정보시스템 운영신설 안전컨설팅,FM컨설팅
2024-07-22,Closed,뉴솔루션,LG전자 물류센터 자산실사,FM컨설팅
2024-08-29,Closed,뉴솔루션,시설 비상주 단독건물(13개소)점검컨설팅,FM컨설팅
2024-11-04,Closed,뉴솔루션,3Q-22. 서울4본부-솔루션-청년취업사관학교 시설관리 전문가 컨설팅 용역,FM컨설팅
2024-11-21,Closed,뉴솔루션,KT&G 분당타워 FM컨설팅,FM컨설팅
2024-12-06,Drop,뉴솔루션,서리풀 복합단지 컨설팅,FM컨설팅
2024-12-17,Closed,뉴솔루션,Ensol Ohio Plant 컨설팅,FM컨설팅
2025-01-20,Pipeline,뉴솔루션,SAFE_비상주시설물_외부다점포매장(25년),Patrol/SOS
2024-02-22,Pipeline,뉴솔루션,서울4본부_솔루션-UPS 밧데리 화재진압장치-이노텍파주,UPS화재안전
2024-04-09,Pipeline,뉴솔루션,(삭제)(신한은행운영센터)_전국영업점간판청소제안,간판점검/세척
2024-04-29,Drop,뉴솔루션,"[삭제](BS운영센터)간판수선,교체",간판점검/세척
2025-01-20,Pipeline,뉴솔루션,CLEAN_간판점검및세척(P)_TOPTEN(25년),간판점검/세척
2024-02-15,Closed,뉴솔루션,실내공기질서비스(실내공기질전도성필터),공기질서비스
2024-02-23,Drop,뉴솔루션,24년 솔루션목표(BIFC)_Sandi Safe(공기질),공기질서비스
2024-07-21,Closed,뉴솔루션,SAFE_서울2_건물 맞춤형 공조필터_U+가산IDC,공조필터
2024-03-21,Drop,뉴솔루션,[삭제] 서울1_기계설비 성능점검_(2차부지),기계설비점검
2024-03-22,Closed,뉴솔루션,서울1_기계설비 성능점검(디앤오강서),기계설비점검
2024-03-22,Closed,뉴솔루션,서울1_기계설비 성능점검_(뉴파워),기계설비점검
2024-04-25,Drop,뉴솔루션,[삭제] 서울1_기계설비 성능점검(엑셈),기계설비점검
2024-04-25,Closed,뉴솔루션,서울1_기계설비 성능점검_(LG아트센터),기계설비점검
2024-04-29,Closed,뉴솔루션,(국민은행종암운영센터)기계설비 법정성능 자체수행,기계설비점검
2024-05-27,Drop,뉴솔루션,[삭제] 서울1_기계설비 성능점검_(CA),기계설비점검
2024-06-02,Closed,뉴솔루션,SAFE_서울2_기계설비 성능 점검_LF스퀘어인천,기계설비점검
