,shortName
0,강릉
1,고성(강원)
2,동해
3,삼척
4,속초
5,양구
6,양양
7,영월
8,원주
9,인제
10,정선
11,철원
12,춘천
13,태백
14,평창
15,홍천
16,화천
17,횡성
18,가평
19,고양
20,과천
21,광명
22,광주
23,구리
24,군포
25,김포
26,남양주
27,동두천
28,부천
29,성남
30,수원
31,시흥
32,안산
33,안성
34,안양
35,양주
36,양평
37,여주
38,연천
39,오산
40,용인
41,의왕
42,의정부
43,이천
44,파주
45,평택
46,포천
47,하남
48,화성
49,거제
50,거창
51,고성(경남)
52,김해
53,남해
54,밀양
55,사천
56,산청
57,양산
58,의령
59,진주
60,창녕
61,창원
62,통영
63,하동
64,함안
65,함양
66,합천
67,경산
68,경주
69,고령
70,구미
71,군위
72,김천
73,문경
74,봉화
75,상주
76,성주
77,안동
78,영덕
79,영양
80,영주
81,영천
82,예천
83,울릉
84,울진
85,의성
86,청도
87,청송
88,칠곡
89,포항
90,광주광산
91,광주남구
92,광주동구
93,광주북구
94,광주서구
95,대구남구
96,대구달서
97,대구달성
98,대구동구
99,대구북구
100,대구서구
101,대구수성
102,대구중구
103,대전대덕
104,대전동구
105,대전서구
106,대전유성
107,대전중구
108,부산강서
109,부산금정
110,부산기장
111,부산남구
112,부산동구
113,부산동래
114,부산부산진
115,부산북구
116,부산사상
117,부산사하
118,부산서구
119,부산수영
120,부산연제
121,부산영도
122,부산중구
123,부산해운대
124,서울강남
125,서울강동
126,서울강북
127,서울강서
128,서울관악
129,서울광진
130,서울구로
131,서울금천
132,서울노원
133,서울도봉
134,서울동대문
135,서울동작
136,서울마포
137,서울서대문
138,서울서초
139,서울성동
140,서울성북
141,서울송파
142,서울양천
143,서울영등포
144,서울용산
145,서울은평
146,서울종로
147,서울중구
148,서울중랑
149,세종
150,울산남구
151,울산동구
152,울산북구
153,울산울주
154,울산중구
155,인천강화
156,인천계양
157,인천남구
158,인천남동
159,인천동구
160,인천부평
161,인천서구
162,인천연수
163,인천옹진
164,인천중구
165,강진
166,고흥
167,곡성
168,광양
169,구례
170,나주
171,담양
172,목포
173,무안
174,보성
175,순천
176,신안
177,여수
178,영광
179,영암
180,완도
181,장성
182,장흥
183,진도
184,함평
185,해남
186,화순
187,고창
188,군산
189,김제
190,남원
191,무주
192,부안
193,순창
194,완주
195,익산
196,임실
197,장수
198,전주
199,정읍
200,진안
201,서귀포
202,제주
203,계룡
204,공주
205,금산
206,논산
207,당진
208,보령
209,부여
210,서산
211,서천
212,아산
213,예산
214,천안
215,청양
216,태안
217,홍성
218,괴산
219,단양
220,보은
221,영동
222,옥천
223,음성
224,제천
225,증평
226,진천
227,청주
228,충주
